Comment,Designator,Footprint,LCSC
1k,"R10,R11",R_0402_1005Metric,C11702
Schottky Diode,"D1,D2",CUSTOM D_SOD-123,C130880
100nF,"C11,C12,C13,C14,C15,C16,C17,C3,C5,C6",C_0402_1005Metric,C1525
10uF,C9,C_0402_1005Metric,C15525
22pF,"C7,C8",C_0402_1005Metric,C1555
Boot,SW1,SW_SPST_SKQG_WithStem,C202424
RP2040,U3,RP2040-QFN-56,C2040
5.6k,R5,R_0603_1608Metric,C23189
470,R4,R_0402_1005Metric,C25167
27,"R8,R9",R_0603_1608Metric,C25190
10k,R1,R_0402_1005Metric,C25744
10k,R6,R_0603_1608Metric,C25804
5.1k,"R2,R3",R_0402_1005Metric,C25905
Green_LED,D3,LED_0805_2012Metric,C434435
USB C Connector,J1,TYPE-C_24P_QCHT,C456013
1uF,"C1,C10,C2,C4",C_0402_1005Metric,C52923
XC6206,U1,SOT-23,C5446
USBLC6-2SC6,U2,SOT-23-6,C7519
500 mA,F1,Fuse_1206_3216Metric,C883125
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
