Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,218.044,-45.532107,0.0,top
C2,1uF,C_0402_1005Metric,215.024,-37.487107,180.0,top
C3,100nF,C_0402_1005Metric,207.85,-41.3,0.0,top
C4,1uF,C_0402_1005Metric,213.46975,-47.563125,90.0,top
C5,100nF,C_0402_1005Metric,209.18,-45.769357,90.0,top
C6,100nF,C_0402_1005Metric,212.32,-61.4,-90.0,top
C7,22pF,C_0402_1005Metric,202.92,-65.36,-90.0,top
C8,22pF,C_0402_1005Metric,210.343991,-65.11,90.0,top
C9,10uF,C_0402_1005Metric,218.044,-44.332107,180.0,top
C10,1uF,C_0402_1005Metric,210.704,-45.769357,90.0,top
C11,100nF,C_0402_1005Metric,217.489411,-56.209411,-45.0,top
C12,100nF,C_0402_1005Metric,214.48575,-47.563125,90.0,top
C13,100nF,C_0402_1005Metric,205.46875,-50.103125,90.0,top
C14,100nF,C_0402_1005Metric,211.27,-61.4,-90.0,top
C15,100nF,C_0402_1005Metric,204.11,-55.68,-135.0,top
C16,100nF,C_0402_1005Metric,217.181,-48.817357,0.0,top
C17,100nF,C_0402_1005Metric,217.181,-50.341357,0.0,top
D1,Schottky Diode,CUSTOM D_SOD-123,218.574,-41.317107,90.0,top
D2,Schottky Diode,CUSTOM D_SOD-123,220.954,-36.387107,90.0,top
D3,Green_LED,LED_0805_2012Metric,223.53,-52.59,0.0,top
F1,500 mA,Fuse_1206_3216Metric,215.834,-34.367107,0.0,top
J1,USB C Connector,TYPE-C_24P_QCHT,211.056,-26.296,180.0,top
R1,10k,R_0402_1005Metric,217.914,-29.56,0.0,top
R2,5.1k,R_0402_1005Metric,206.74,-33.5,180.0,top
R3,5.1k,R_0402_1005Metric,218.93,-31.465,0.0,top
R4,470,R_0402_1005Metric,220.43,-52.62,0.0,top
R5,5.6k,R_0603_1608Metric,223.232,-49.372,-90.0,top
R6,10k,R_0603_1608Metric,224.772,-49.372,90.0,top
R8,27,R_0603_1608Metric,211.134,-42.047107,-90.0,top
R9,27,R_0603_1608Metric,212.664,-42.047107,-90.0,top
R10,1k,R_0402_1005Metric,198.380423,-39.239478,-90.0,top
R11,1k,R_0402_1005Metric,207.56,-61.74,90.0,top
SW1,Boot,SW_SPST_SKQG_WithStem,200.201726,-34.00633,-90.0,top
U1,XC6206,SOT-23,215.4765,-39.727107,180.0,top
U2,USBLC6-2SC6,SOT-23-6,210.548,-36.257107,-90.0,top
U3,RP2040,RP2040-QFN-56,210.704,-53.802107,0.0,top
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,201.98,-43.1,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,206.206978,-65.24,180.0,top
